Task,Anthropic median s,Pro median s,Flash median s,T_Anthropic / T_Pro,T_Anthropic / T_Flash
build-cython-ext,291.476027,701.314486,311.920346,0.41561386912518444,0.9344566032252349
cancel-async-tasks,95.710561,228.615992,96.563715,0.4186520818718578,0.9911648593884359
configure-git-webserver,108.936688,153.312685,141.189609,0.7105523460110298,0.7715630687807912
custom-memory-heap-crash,641.115943,835.221145,801.509573,0.7676002299965717,0.7998855716723922
fix-code-vulnerability,221.892856,492.588053,179.591125,0.45046333269475375,1.235544662911377
git-leak-recovery,76.204373,117.822484,82.262982,0.6467727585848555,0.926350724801102
llm-inference-batching-scheduler,1501.440652,1499.812686,1528.533781,1.001085446212848,0.9822750865327456
model-extraction-relu-logits,813.239597,901.176502,851.72444,0.9024198868869309,0.9548153825432085
modernize-scientific-stack,92.181206,118.327254,87.423012,0.779036129749111,1.0544272485143844
mteb-retrieve,346.587023,524.241747,381.510998,0.6611206089239589,0.908458798873211
multi-source-data-merger,120.538974,154.413231,130.098198,0.7806259426046205,0.9265230099497612
nginx-request-logging,94.297466,195.094825,99.501098,0.48334170832055645,0.9477027680639263
openssl-selfsigned-cert,76.040904,235.439955,99.429804,0.32297366009945083,0.7647697263890815
password-recovery,503.074506,954.2094,263.304236,0.5272160450316251,1.910620632780097
polyglot-rust-c,970.624287,954.499216,963.187906,1.0168937498634885,1.007720592164495
portfolio-optimization,257.292471,339.918886,169.236408,0.7569231413637899,1.5203139445030054
query-optimize,715.274322,699.725909,1026.759352,1.0222207192845276,0.696632877613176
schemelike-metacircular-eval,2464.091819,1719.27107,2450.969133,1.4332189158513557,1.0053540804832324
sqlite-db-truncate,171.093505,618.338627,360.987128,0.2766987173841883,0.4739601269106748
torch-pipeline-parallelism,949.374353,912.951571,655.251006,1.0398956342887986,1.44887126354141
