Task,Anthropic Sonnet,DeepSeek V4-Pro,DeepSeek V4-Flash
build-cython-ext,100.0,66.66666666666666,33.33333333333333
cancel-async-tasks,0.0,33.33333333333333,100.0
configure-git-webserver,66.66666666666666,66.66666666666666,100.0
custom-memory-heap-crash,100.0,100.0,100.0
fix-code-vulnerability,100.0,100.0,100.0
git-leak-recovery,100.0,100.0,100.0
llm-inference-batching-scheduler,66.66666666666666,66.66666666666666,66.66666666666666
model-extraction-relu-logits,33.33333333333333,0.0,0.0
modernize-scientific-stack,100.0,100.0,100.0
mteb-retrieve,0.0,33.33333333333333,33.33333333333333
multi-source-data-merger,100.0,100.0,100.0
nginx-request-logging,100.0,100.0,100.0
openssl-selfsigned-cert,100.0,100.0,33.33333333333333
password-recovery,100.0,66.66666666666666,33.33333333333333
polyglot-rust-c,0.0,0.0,0.0
portfolio-optimization,100.0,100.0,100.0
query-optimize,33.33333333333333,66.66666666666666,66.66666666666666
schemelike-metacircular-eval,0.0,100.0,0.0
sqlite-db-truncate,100.0,100.0,66.66666666666666
torch-pipeline-parallelism,0.0,0.0,0.0
