arm_id,trials_reviewed,substantive_successes,substantive_failures,policy_refusals,empty_completions,timeouts,setup_transport_failures,telemetry_mismatches,unknown_classifications,high_confidence,medium_confidence,low_or_unknown_confidence,manual_review_queue
router-anthropic-fable-5,60,39,12,9,0,3,0,11,0,60,0,0,36
router-anthropic-haiku-sanitized,60,25,35,0,0,0,0,0,0,60,0,0,28
router-anthropic-opus,60,39,16,0,0,7,0,9,2,58,2,0,33
router-anthropic-sonnet,60,28,17,0,0,23,0,22,15,60,0,0,28
router-deepseek-flash,60,40,17,0,0,8,0,12,2,49,11,0,37
router-deepseek-pro,60,37,18,0,0,7,0,6,2,55,5,0,28
router-gemini-3.1-pro,60,38,20,0,0,16,0,44,0,58,2,0,53
router-gemini-flash,60,13,40,0,2,41,0,58,2,60,0,0,59
router-glm-5.1,60,36,15,0,0,16,0,16,6,54,6,0,31
router-glm-5.2,60,38,17,0,0,19,0,19,2,50,10,0,42
router-gpt-5.4,60,39,18,0,0,7,0,4,0,59,1,0,33
router-gpt-5.5,60,44,13,0,2,4,0,6,0,59,1,0,31
router-grok-build-0.1,60,36,22,0,0,13,0,11,1,58,2,0,33
router-kimi-k2.6,60,30,26,0,0,14,0,10,2,52,8,0,28
router-kimi-k3,60,47,13,0,0,11,0,10,0,59,1,0,31
router-qwen-3.7-plus,60,33,24,0,0,19,0,17,0,60,0,0,34
