record_type,provider_activity_date,provider_model,request_count,input_tokens,cached_input_tokens,uncached_input_tokens,output_tokens,provider_billed_cost_usd,source_file
daily_provider_cost,2026-06-03,,,,,,,1.181298500000000000000000000,cost_2026-06-01_2026-07-01.csv
model_usage,2026-06-03,gpt-5.4-2026-03-05,9,146861,103424,43437,2602,,completions_usage_2026-06-01_2026-07-01.csv
model_usage,2026-06-03,gpt-5.5-2026-04-23,30,493776,345600,148176,3138,,completions_usage_2026-06-01_2026-07-01.csv
daily_provider_cost,2026-06-16,,,,,,,15.66294400000000000000000000,cost_2026-06-01_2026-07-01.csv
model_usage,2026-06-16,gpt-5.4-2026-03-05,122,4109382,1377792,2731590,130329,,completions_usage_2026-06-01_2026-07-01.csv
model_usage,2026-06-16,gpt-5.5-2026-04-23,67,1580546,730112,850434,63912,,completions_usage_2026-06-01_2026-07-01.csv
daily_provider_cost,2026-06-19,,,,,,,29.79193350000000000000000000,cost_2026-06-01_2026-07-01.csv
model_usage,2026-06-19,gpt-5.4-2026-03-05,1256,32807457,30833664,1973793,1143269,,completions_usage_2026-06-01_2026-07-01.csv
daily_provider_cost,2026-06-27,,,,,,,48.60491400000000000000000000,cost_2026-06-01_2026-07-01.csv
model_usage,2026-06-27,gpt-5.5-2026-04-23,1480,35226942,33033728,2193214,704066,,completions_usage_2026-06-01_2026-07-01.csv
