path	json_path	record_type	trial_name	reward	n_input_tokens	n_cache_tokens	n_output_tokens	observed_cost_usd	official_k3_if_input_includes_cache_usd	official_k3_if_input_excludes_cache_usd	delta_observed_vs_includes_cache_usd	delta_observed_vs_excludes_cache_usd
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/build-cython-ext__JyfRN3s/result.json	$.agent_result	trial_result	build-cython-ext__JyfRN3s		1890667	1838592	12100	1.482171000000	0.889302600000	6.405078600000	0.592868400000	-4.922907600000
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/build-cython-ext__iRgpfsd/result.json	$.agent_result	trial_result	build-cython-ext__iRgpfsd		2187863	2136064	14177	1.681452000000	1.008871200000	7.417063200000	0.672580800000	-5.735611200000
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/build-cython-ext__nTV6zY3/result.json	$.agent_result	trial_result	build-cython-ext__nTV6zY3		1262201	1224448	9331	1.034264000000	0.620558400000	4.293902400000	0.413705600000	-3.259638400000
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/cancel-async-tasks__JubsbHr/result.json	$.agent_result	trial_result	cancel-async-tasks__JubsbHr		105548	91648	10475	0.377199000000	0.226319400000	0.501263400000	0.150879600000	-0.124064400000
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/cancel-async-tasks__PoLPSBR/result.json	$.agent_result	trial_result	cancel-async-tasks__PoLPSBR		107652	93184	21862	NA	0.399289200000	0.678841200000	NA	NA
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/cancel-async-tasks__oYSfUTH/result.json	$.agent_result	trial_result	cancel-async-tasks__oYSfUTH		160979	141824	32217	NA	0.583267200000	1.008739200000	NA	NA
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/configure-git-webserver__4urYSPa/result.json	$.agent_result	trial_result	configure-git-webserver__4urYSPa		320095	302592	6864	0.410411000000	0.246246600000	1.154022600000	0.164164400000	-0.743611600000
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/configure-git-webserver__6e9PUPK/result.json	$.agent_result	trial_result	configure-git-webserver__6e9PUPK		196042	181504	2096	0.215842000000	0.129505200000	0.674017200000	0.086336800000	-0.458175200000
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/configure-git-webserver__SANYVkP/result.json	$.agent_result	trial_result	configure-git-webserver__SANYVkP		199194	183808	4583	0.283409000000	0.170045400000	0.721469400000	0.113363600000	-0.438060400000
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/custom-memory-heap-crash__6x3WfeM/result.json	$.agent_result	trial_result	custom-memory-heap-crash__6x3WfeM		352204	329216	13824	0.625148000000	0.375088800000	1.362736800000	0.250059200000	-0.737588800000
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/custom-memory-heap-crash__8GVnQJH/result.json	$.agent_result	trial_result	custom-memory-heap-crash__8GVnQJH		938056	902400	13226	0.960130000000	0.576078000000	3.283278000000	0.384052000000	-2.323148000000
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/custom-memory-heap-crash__mRwrZTY/result.json	$.agent_result	trial_result	custom-memory-heap-crash__mRwrZTY		7794007	7699712	51827	NA	3.370203600000	26.469339600000	NA	NA
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/fix-code-vulnerability__LMA4fea/result.json	$.agent_result	trial_result	fix-code-vulnerability__LMA4fea		92486	77824	1310	0.144972000000	0.086983200000	0.320455200000	0.057988800000	-0.175483200000
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/fix-code-vulnerability__MBRaucC/result.json	$.agent_result	trial_result	fix-code-vulnerability__MBRaucC		263926	244736	2644	0.284418000000	0.170650800000	0.904858800000	0.113767200000	-0.620440800000
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/fix-code-vulnerability__RhqFcCX/result.json	$.agent_result	trial_result	fix-code-vulnerability__RhqFcCX		310976	289536	2839	0.322943000000	0.193765800000	1.062373800000	0.129177200000	-0.739430800000
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/git-leak-recovery__RhqgGLV/result.json	$.agent_result	trial_result	git-leak-recovery__RhqgGLV		123833	121344	1413	0.108442000000	0.065065200000	0.429097200000	0.043376800000	-0.320655200000
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/git-leak-recovery__b37UfSe/result.json	$.agent_result	trial_result	git-leak-recovery__b37UfSe		180444	164864	1948	0.209032000000	0.125419200000	0.620011200000	0.083612800000	-0.410979200000
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/git-leak-recovery__iwSNetK/result.json	$.agent_result	trial_result	git-leak-recovery__iwSNetK		141177	127232	1366	0.167491000000	0.100494600000	0.482190600000	0.066996400000	-0.314699600000
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/llm-inference-batching-scheduler__4jaJqrT/result.json	$.agent_result	trial_result	llm-inference-batching-scheduler__4jaJqrT		126514	107520	37872	1.095530000000	0.657318000000	0.979878000000	0.438212000000	0.115652000000
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/llm-inference-batching-scheduler__Sxi8hkn/result.json	$.agent_result	trial_result	llm-inference-batching-scheduler__Sxi8hkn		1354009	1268736	61140	2.589233000000	1.553539800000	5.359747800000	1.035693200000	-2.770514800000
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/llm-inference-batching-scheduler__b37nUtY/result.json	$.agent_result	trial_result	llm-inference-batching-scheduler__b37nUtY		2009732	1912576	30358	2.201018000000	1.320610800000	7.058338800000	0.880407200000	-4.857320800000
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/model-extraction-relu-logits__DByeHqa/result.json	$.agent_result	trial_result	model-extraction-relu-logits__DByeHqa		1121326	1080064	26290	NA	0.842155200000	4.082347200000	NA	NA
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/model-extraction-relu-logits__QkhuMe6/result.json	$.agent_result	trial_result	model-extraction-relu-logits__QkhuMe6		137179	124416	19839	0.621998000000	0.373198800000	0.746446800000	0.248799200000	-0.124448800000
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/model-extraction-relu-logits__vWgT9J8/result.json	$.agent_result	trial_result	model-extraction-relu-logits__vWgT9J8		172475	164864	11065	0.397112000000	0.238267200000	0.732859200000	0.158844800000	-0.335747200000
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/modernize-scientific-stack__FnfgWFz/result.json	$.agent_result	trial_result	modernize-scientific-stack__FnfgWFz		112804	97536	1835	0.170983000000	0.102589800000	0.395197800000	0.068393200000	-0.224214800000
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/modernize-scientific-stack__jhzD3wn/result.json	$.agent_result	trial_result	modernize-scientific-stack__jhzD3wn		92911	78080	1617	0.153620000000	0.092172000000	0.326412000000	0.061448000000	-0.172792000000
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/modernize-scientific-stack__zeA4omL/result.json	$.agent_result	trial_result	modernize-scientific-stack__zeA4omL		112746	110848	1880	0.111914000000	0.067148400000	0.399692400000	0.044765600000	-0.287778400000
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/mteb-retrieve__VUfhwga/result.json	$.agent_result	trial_result	mteb-retrieve__VUfhwga		173640	156928	6743	0.330599000000	0.198359400000	0.669143400000	0.132239600000	-0.338544400000
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/mteb-retrieve__nbbKxNs/result.json	$.agent_result	trial_result	mteb-retrieve__nbbKxNs		129216	113664	4717	0.252517000000	0.151510200000	0.492502200000	0.101006800000	-0.239985200000
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/mteb-retrieve__ycXNGbS/result.json	$.agent_result	trial_result	mteb-retrieve__ycXNGbS		144687	130304	2593	0.201892000000	0.121135200000	0.512047200000	0.080756800000	-0.310155200000
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/multi-source-data-merger__CMBmY6a/result.json	$.agent_result	trial_result	multi-source-data-merger__CMBmY6a		111810	96256	4018	0.226348000000	0.135808800000	0.424576800000	0.090539200000	-0.198228800000
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/multi-source-data-merger__kT8wdqG/result.json	$.agent_result	trial_result	multi-source-data-merger__kT8wdqG		90714	76288	2525	0.173399000000	0.104039400000	0.332903400000	0.069359600000	-0.159504400000
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/multi-source-data-merger__ttnxF87/result.json	$.agent_result	trial_result	multi-source-data-merger__ttnxF87		110437	95488	2984	0.197089000000	0.118253400000	0.404717400000	0.078835600000	-0.207628400000
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/nginx-request-logging__2Q7aXt4/result.json	$.agent_result	trial_result	nginx-request-logging__2Q7aXt4		264181	246016	2281	0.270858000000	0.162514800000	0.900562800000	0.108343200000	-0.629704800000
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/nginx-request-logging__HwRt8Ky/result.json	$.agent_result	trial_result	nginx-request-logging__HwRt8Ky		183952	169984	2468	0.216532000000	0.129919200000	0.639871200000	0.086612800000	-0.423339200000
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/nginx-request-logging__aJSLS2S/result.json	$.agent_result	trial_result	nginx-request-logging__aJSLS2S		163348	148736	1544	0.186028000000	0.111616800000	0.557824800000	0.074411200000	-0.371796800000
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/openssl-selfsigned-cert__JtbANkL/result.json	$.agent_result	trial_result	openssl-selfsigned-cert__JtbANkL		106276	91904	3365	0.201937000000	0.121162200000	0.396874200000	0.080774800000	-0.194937200000
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/openssl-selfsigned-cert__NThHVtX/result.json	$.agent_result	trial_result	openssl-selfsigned-cert__NThHVtX		143329	130560	2361	0.188150000000	0.112890000000	0.504570000000	0.075260000000	-0.316420000000
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/openssl-selfsigned-cert__S7nXiQc/result.json	$.agent_result	trial_result	openssl-selfsigned-cert__S7nXiQc		161615	146432	1832	0.194931000000	0.116958600000	0.556254600000	0.077972400000	-0.361323600000
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/password-recovery__7eT5Z4P/result.json	$.agent_result	trial_result	password-recovery__7eT5Z4P		345866	323328	6783	0.443929000000	0.266357400000	1.236341400000	0.177571600000	-0.792412400000
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/password-recovery__SbeCoD8/result.json	$.agent_result	trial_result	password-recovery__SbeCoD8		946576	905984	10495	0.918327000000	0.550996200000	3.268948200000	0.367330800000	-2.350621200000
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/password-recovery__okdR6kM/result.json	$.agent_result	trial_result	password-recovery__okdR6kM		373609	349952	6428	0.453961000000	0.272376600000	1.322232600000	0.181584400000	-0.868271600000
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/polyglot-rust-c__9d5xvdp/result.json	$.agent_result	trial_result	polyglot-rust-c__9d5xvdp		1212117	1174272	28669	NA	0.895851600000	4.418667600000	NA	NA
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/polyglot-rust-c__UVDAiM4/result.json	$.agent_result	trial_result	polyglot-rust-c__UVDAiM4		69100	66304	16155	0.451007000000	0.270604200000	0.469516200000	0.180402800000	-0.018509200000
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/polyglot-rust-c__vgzM9CU/result.json	$.agent_result	trial_result	polyglot-rust-c__vgzM9CU		105367	101632	11460	0.355991000000	0.213594600000	0.518490600000	0.142396400000	-0.162499600000
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/portfolio-optimization__VNME4ha/result.json	$.agent_result	trial_result	portfolio-optimization__VNME4ha		173265	162304	16507	0.548632000000	0.329179200000	0.816091200000	0.219452800000	-0.267459200000
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/portfolio-optimization__gGzmgfV/result.json	$.agent_result	trial_result	portfolio-optimization__gGzmgfV		573148	535296	19095	0.934283000000	0.560569800000	2.166457800000	0.373713200000	-1.232174800000
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/portfolio-optimization__uZsy874/result.json	$.agent_result	trial_result	portfolio-optimization__uZsy874		237879	221184	13210	0.524317000000	0.314590200000	0.978142200000	0.209726800000	-0.453825200000
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/query-optimize__PL4fDvu/result.json	$.agent_result	trial_result	query-optimize__PL4fDvu		162985	157952	3119	0.182116000000	0.109269600000	0.583125600000	0.072846400000	-0.401009600000
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/query-optimize__e54dwWo/result.json	$.agent_result	trial_result	query-optimize__e54dwWo		203601	188416	5164	0.299233000000	0.179539800000	0.744787800000	0.119693200000	-0.445554800000
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/query-optimize__joF3P22/result.json	$.agent_result	trial_result	query-optimize__joF3P22		339900	321280	6660	0.420240000000	0.252144000000	1.215984000000	0.168096000000	-0.795744000000
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/result.json	$.stats	run_result			35753434	34309120	796315	25.207213000000	26.570403000000	129.497763000000	-1.363190000000	-104.290550000000
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/schemelike-metacircular-eval__Cmc7Vtv/result.json	$.agent_result	trial_result	schemelike-metacircular-eval__Cmc7Vtv		3045428	2986240	58322	NA	1.948266000000	10.906986000000	NA	NA
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/schemelike-metacircular-eval__G3VDgYG/result.json	$.agent_result	trial_result	schemelike-metacircular-eval__G3VDgYG		2030971	1975296	43326	NA	1.409503800000	7.335391800000	NA	NA
/tmp/kimi-k3-full-29944035055/results/phase3/raw/arm-router-kimi-k3/2026-07-22__17-51-05/schemelike-metacircular-eval__HtvpjvJ/result.json	$.agent_result	trial_result	schemelike-metacircular-eval__HtvpjvJ		1277896	1221120	56888	NA	1.389984000000	5.053344000000	NA	NA
