phase	row_index	arm_id	backend	backend_model	task_name	trial_name	success	outcome_bucket	exception_present	wall_clock_seconds	recorded_cost_usd	adjusted_cost_usd	known_accounting_gap_usd	cost_source	cost_confidence	input_tokens	cache_tokens	output_tokens	total_tokens
phase1	0	arm-a-anthropic	anthropic	claude-sonnet-4-6	multi-source-data-merger	multi-source-data-merger__dRfgK7J	True	clean_success	False	118.60636	0.1167897	0.1167897	0.0	recorded_effective_cost	high	98695.0	88989.0	3580.0	191264.0
phase1	1	arm-a-anthropic	anthropic	claude-sonnet-4-6	cancel-async-tasks	cancel-async-tasks__cj9izgL	False	normal_failure	False	95.710561	0.08572755	0.08572755	0.0	recorded_effective_cost	high	36920.0	28816.0	3113.0	68849.0
phase1	2	arm-a-anthropic	anthropic	claude-sonnet-4-6	torch-pipeline-parallelism	torch-pipeline-parallelism__GtXvuEU	False	normal_failure	False	835.325381	0.67389855	0.67389855	0.0	recorded_effective_cost	high	84235.0	40999.0	31923.0	157157.0
phase1	3	arm-a-anthropic	anthropic	claude-sonnet-4-6	query-optimize	query-optimize__WHzatf5	True	clean_success	False	715.274322	0.23541845	0.23541845	0.0	recorded_effective_cost	high	246059.0	232572.0	6092.0	484723.0
phase1	4	arm-a-anthropic	anthropic	claude-sonnet-4-6	portfolio-optimization	portfolio-optimization__bwxKEtt	True	clean_success	False	324.320302	0.2773656	0.2773656	0.0	recorded_effective_cost	high	177862.0	155767.0	9989.0	343618.0
phase1	5	arm-a-anthropic	anthropic	claude-sonnet-4-6	schemelike-metacircular-eval	schemelike-metacircular-eval__dUkuqTw	False	exception_failure	True	2464.091819	1.6717983	1.6717983	0.0	recorded_effective_cost	high	213225.0	156221.0	96928.0	466374.0
phase1	6	arm-a-anthropic	anthropic	claude-sonnet-4-6	query-optimize	query-optimize__AeXcct4	False	normal_failure	False	651.253726	0.38364085	0.38364085	0.0	recorded_effective_cost	high	274561.0	253024.0	13584.0	541169.0
phase1	7	arm-a-anthropic	anthropic	claude-sonnet-4-6	openssl-selfsigned-cert	openssl-selfsigned-cert__5UPDn38	True	clean_success	False	62.586655	0.07848825	0.07848825	0.0	recorded_effective_cost	high	125011.0	118260.0	1180.0	244451.0
phase1	8	arm-a-anthropic	anthropic	claude-sonnet-4-6	model-extraction-relu-logits	model-extraction-relu-logits__VjNivrM	False	normal_failure	False	813.239597	1.0217140500000002	1.0217140500000002	0.0	recorded_effective_cost	high	440808.0	359801.0	40667.0	841276.0
phase1	9	arm-a-anthropic	anthropic	claude-sonnet-4-6	llm-inference-batching-scheduler	llm-inference-batching-scheduler__NntAMkU	True	clean_success	False	1501.440652	2.8784254499999995	2.8784254499999995	0.0	recorded_effective_cost	high	1593874.0	1329654.0	99415.0	3022943.0
phase1	10	arm-a-anthropic	anthropic	claude-sonnet-4-6	custom-memory-heap-crash	custom-memory-heap-crash__5eay6Rg	True	clean_success	False	1075.165072	1.7893012499999998	1.7893012499999998	0.0	recorded_effective_cost	high	984185.0	849640.0	68667.0	1902492.0
