arm_id	provider	backend_model	success_count	trial_count	pass_rate	adjusted_cost_usd	cost_per_clean_success_usd	failure_incomplete_spend_share	unclean_spend_share	failure_incomplete_token_share	unclean_token_share	exception_count	normal_failure_count	suspect_noop_count	missing_cost_count	unresolved_cost_count	total_visible_tokens_from_trials	median_visible_tokens_per_attempt	median_success_visible_tokens	median_failure_visible_tokens	existing_total_tokens_metric	cost_confidence	behavior_tags
router-anthropic-fable-5	anthropic	claude-fable-5	39	60	0.65	37.68696425	1.018566601351	0.19438014299599626	0.4611728709350741	0.16710547043962803	0.22497378925016456	12	11	0	3	0	39898860.0	394193.5	413696.0	239600.0	20770104.0	medium	mid-pass-rate;cost-efficient-clean-success;exception-heavy;middle-token-success-pattern
router-anthropic-haiku-sanitized	anthropic	claude-haiku-4-5-20251001	25	60	0.4166666666666667	83.51122425	3.34044897	0.6564517433714906	0.6564517433714906	0.6572842658012022	0.6572842658012022	0	35	0	0	0	216457822.0	857740.0	701158.0	991572.0	109429347.0	high	lower-pass-rate;high-unclean-spend;higher-token-success-pattern
router-anthropic-opus	anthropic	claude-opus-4-7	39	60	0.65	64.49228375	1.653648301282	0.47658815850198516	0.4765881585019851	0.21832873261138122	0.21832873261138122	7	14	0	7	2	67860726.0	536752.5	542607.0	530898.0	34949225.0	mixed	mid-pass-rate;higher-token-success-pattern
router-anthropic-sonnet	anthropic	claude-sonnet-4-6	28	60	0.4666666666666667	52.7917033	1.885417975	0.4416456818509207	0.44164568185092073	0.4042829964851466	0.4042829964851466	23	9	0	22	14	82741801.0	403739.0	584762.0	97341.0	42855557.0	mixed	lower-pass-rate;exception-heavy;higher-token-success-pattern
router-deepseek-flash	deepseek	deepseek-v4-flash	40	60	0.6666666666666666	56.7953838632	1.41988459658	0.24446597449966964	0.24446597449966964	0.6182982211606283	0.6182982211606283	8	12	0	7	0	204822235.0	688786.0	749554.5	446710.5	104396891.0	medium	mid-pass-rate;cost-efficient-clean-success;higher-token-success-pattern
router-deepseek-pro	deepseek	deepseek-v4-pro	37	60	0.6166666666666667	50.439011911	1.363216538135	0.24364218182315214	0.24364218182315223	0.2678308405733045	0.2678308405733045	7	16	0	4	0	87712913.0	616046.5	793497.0	535028.0	45340305.0	medium	mid-pass-rate;cost-efficient-clean-success;higher-token-success-pattern
router-gemini-3.1-pro	google-gemini	gemini-3.1-pro-preview	38	60	0.6333333333333333	46.469402372843	1.290816732579	0.2974662903531183	0.3112025684516729	0.23904902786121351	0.2527853059597686	16	8	0	16	0	46000603.0	341234.0	502628.5	286187.5	25631834.0	low	mid-pass-rate;cost-efficient-clean-success;exception-heavy;middle-token-success-pattern
router-gemini-flash	google-gemini	gemini-3.5-flash	13	60	0.21666666666666667	43.534953854953	4.837217094995	0.5572406600157447	0.6080827705285639	0.5166321246990053	0.5674742352118237	41	8	2	42	4	28578076.0	284867.5	474289.0	155792.0	17785611.0	mixed	lower-pass-rate;expensive-clean-success;exception-heavy;high-unclean-spend;suspect-noop-present;middle-token-success-pattern
router-glm-5.1	zai-glm	glm-5.1	36	60	0.6	20.297031	0.579915171429	0.19404437033179878	0.20176354857023174	0.28794890346467905	0.3097102098607701	16	9	0	15	5	1894923.0	11484.5	11484.5	12589.5	1894923.0	mixed	mid-pass-rate;cost-efficient-clean-success;exception-heavy;lower-token-success-pattern
router-glm-5.2	zai-glm	glm-5.2	38	60	0.6333333333333333	25.3166398	0.723332565714	0.2714436297347802	0.3250099485951528	0.40436397086574233	0.5750861507130104	19	6	0	17	0	3404789.0	33662.0	29254.5	38114.5	3404789.0	medium	mid-pass-rate;cost-efficient-clean-success;exception-heavy;lower-token-success-pattern
router-gpt-5.4	openai	gpt-5.4	39	60	0.65	183.646689146806	4.832807609126	0.1877813084287655	0.21565043906207979	0.172747640671223	0.20061677130453742	7	15	0	4	0	32878313.0	295661.0	322407.0	216864.0	32878313.0	low	mid-pass-rate;expensive-clean-success;high-total-cost;middle-token-success-pattern
router-gpt-5.5	openai	gpt-5.5	44	60	0.7333333333333333	183.958832348525	4.379972198774	0.2263435277281203	0.2605678223577251	0.21518006036557852	0.24940435499518135	4	12	2	6	2	34085319.0	362292.0	413589.0	179189.5	34085319.0	mixed	high-pass-rate;expensive-clean-success;high-total-cost;suspect-noop-present;middle-token-success-pattern
router-grok-build-0.1	xai	grok-build-0.1	36	60	0.6	53.153814003353	1.476494833426	0.5612899951350809	0.5612899951350809	0.5494219321792337	0.5494219321792337	13	11	0	11	1	4665975.0	40752.0	30710.5	93706.0	4665975.0	mixed	mid-pass-rate;cost-efficient-clean-success;exception-heavy;high-unclean-spend;lower-token-success-pattern
router-kimi-k2.6	moonshot-kimi	kimi-k2.6	30	60	0.5	35.131541559739	1.171051385325	0.6282090275546384	0.6282090275546383	0.5624487065852538	0.5624487065852538	14	16	0	8	0	2924352.0	33470.0	28510.0	39282.0	2924352.0	low	lower-pass-rate;cost-efficient-clean-success;exception-heavy;high-unclean-spend;lower-token-success-pattern
router-qwen-3.7-plus	dashscope-qwen	qwen3.7-plus	33	60	0.55	34.944370078779	1.092011564962	0.47129850196657075	0.548345127858391	0.455358159243028	0.5324047851348717	19	9	0	17	1	4339606.0	51739.5	53577.0	50463.0	4339606.0	mixed	lower-pass-rate;cost-efficient-clean-success;exception-heavy;high-unclean-spend;lower-token-success-pattern
