arm_id	backend_model	provider	trial_count	success_count	clean_success_count	exception_success_signal_count	failure_or_incomplete_count	recorded_cost_usd	missing_cost_count	missing_cost_with_visible_tokens_count	token_reconstructed_missing_cost_usd	empirical_reconstructed_missing_cost_usd	unresolved_missing_cost_count	adjusted_cost_usd	adjusted_clean_success_cost_usd	adjusted_exception_success_signal_cost_usd	adjusted_failure_or_incomplete_cost_usd	nonproductive_or_unclean_spend_share	mean_recorded_cost_per_attempt	mean_adjusted_cost_per_attempt	adjusted_cost_per_clean_success	adjusted_cost_per_any_success	cost_confidence	cost_source_counts	outcome_cost_counts	notes
router-anthropic-fable-5	claude-fable-5	anthropic	60	39	37	2	21	25.64316325	3	3	12.043801	0	0	37.68696425	20.30675875	10.054608	7.3255975	0.461172870935	0.427386054167	0.628116070833	1.018566601351	0.966332416667	medium	recorded_artifact:57,token_reconstructed_from_configured_price_snapshot:3	clean_success:37,exception_failure:10,exception_with_success_signal:2,normal_failure:11	adjusted_cost_includes_configured_price_reconstruction
router-anthropic-haiku-sanitized	claude-haiku-4-5-20251001	anthropic	60	25	25	0	35	83.51122425	0	0	0	0	0	83.51122425	28.6901355	0	54.82108875	0.656451743371	1.3918537375	1.3918537375	3.34044897	3.34044897	high	recorded_artifact:60	clean_success:25,normal_failure:35	
router-anthropic-opus	claude-opus-4-7	anthropic	60	39	39	0	21	40.33090325	7	5	24.1613805	0	2	64.49228375	33.756025	0	30.73625875	0.476588158502	0.672181720833	1.074871395833	1.653648301282	1.653648301282	mixed	recorded_artifact:53,token_reconstructed_from_configured_price_snapshot:5,unresolved_no_token_metadata:2	clean_success:39,exception_failure:7,normal_failure:14	no_token_metadata_for_some_missing_cost_rows;adjusted_cost_includes_configured_price_reconstruction
router-anthropic-sonnet	claude-sonnet-4-6	anthropic	60	28	28	0	32	37.394878	22	8	15.3968253	0	14	52.7917033	29.4764755	0	23.3152278	0.441645681851	0.623247966667	0.879861721667	1.885417975	1.885417975	mixed	recorded_artifact:38,token_reconstructed_from_configured_price_snapshot:8,unresolved_no_token_metadata:14	clean_success:28,exception_failure:23,normal_failure:9	no_token_metadata_for_some_missing_cost_rows;adjusted_cost_includes_configured_price_reconstruction
router-deepseek-flash	deepseek-v4-flash	deepseek	60	40	40	0	20	56.35246	7	7	0.4429238632	0	0	56.7953838632	42.910845	0	13.8845388632	0.2444659745	0.939207666667	0.946589731053	1.41988459658	1.41988459658	medium	recorded_artifact:53,token_reconstructed_from_configured_price_snapshot:7	clean_success:40,exception_failure:8,normal_failure:12	adjusted_cost_includes_configured_price_reconstruction
router-deepseek-pro	deepseek-v4-pro	deepseek	60	37	37	0	23	50.203188	4	4	0.235823911	0	0	50.439011911	38.149941	0	12.289070911	0.243642181823	0.8367198	0.840650198517	1.363216538135	1.363216538135	medium	recorded_artifact:56,token_reconstructed_from_configured_price_snapshot:4	clean_success:37,exception_failure:7,normal_failure:16	adjusted_cost_includes_configured_price_reconstruction
router-gemini-3.1-pro	gemini-3.1-pro-preview	google-gemini	60	38	36	2	22	38.1007875	16	16	0	8.368614872843	0	46.469402372843	32.008005	0.638316634067	13.823080738776	0.311202568452	0.635013125	0.774490039547	1.290816732579	1.222879009812	low	empirical_reconstructed_from_same_arm_recorded_rows:16,recorded_artifact:44	clean_success:36,exception_failure:14,exception_with_success_signal:2,normal_failure:8	adjusted_cost_includes_same_arm_empirical_reconstruction
router-gemini-flash	gemini-3.5-flash	google-gemini	60	13	9	4	47	23.6669395	42	38	0	19.868014354953	4	43.534953854953	17.0620985	2.213408935064	24.259446419889	0.608082770529	0.394448991667	0.725582564249	4.837217094995	3.348842604227	mixed	empirical_reconstructed_from_same_arm_recorded_rows:38,recorded_artifact:18,unresolved_no_token_metadata:4	clean_success:9,exception_failure:37,exception_with_success_signal:4,normal_failure:10	no_token_metadata_for_some_missing_cost_rows;adjusted_cost_includes_same_arm_empirical_reconstruction
router-glm-5.1	glm-5.1	zai-glm	60	36	35	1	24	18.65261	15	10	1.644421	0	5	20.297031	16.20183	0.1566764	3.9385246	0.20176354857	0.310876833333	0.33828385	0.579915171429	0.563806416667	mixed	recorded_artifact:45,token_reconstructed_from_configured_price_snapshot:10,unresolved_no_token_metadata:5	clean_success:35,exception_failure:15,exception_with_success_signal:1,normal_failure:9	no_token_metadata_for_some_missing_cost_rows;adjusted_cost_includes_configured_price_reconstruction
router-glm-5.2	glm-5.2	zai-glm	60	38	35	3	22	20.549075	17	17	4.7675648	0	0	25.3166398	17.08848	1.3561192	6.8720406	0.325009948595	0.342484583333	0.421943996667	0.723332565714	0.666227363158	medium	recorded_artifact:43,token_reconstructed_from_configured_price_snapshot:17	clean_success:35,exception_failure:16,exception_with_success_signal:3,normal_failure:6	adjusted_cost_includes_configured_price_reconstruction
