arm_id	trial_count	success_count	exception_count	suspect_noop_count	normal_failure_count	missing_cost_count	dominant_exception_type	review_priority	qualitative_summary
router-anthropic-opus	60	39	7	0	14	7	exception_info	high	""
router-anthropic-sonnet	60	28	23	0	9	22	exception_info	high	""
router-deepseek-flash	60	40	8	0	12	7	exception_info	high	""
router-deepseek-pro	60	37	7	0	16	4	exception_info	high	""
router-gemini-3.1-pro	60	38	16	0	8	16	exception_info	high	""
router-gemini-flash	60	13	41	2	8	42	exception_info	high	""
router-glm-5.1	60	36	16	0	9	15	exception_info	high	""
router-glm-5.2	60	38	19	0	6	17	exception_info	high	""
router-gpt-5.4	60	39	7	0	15	4	exception_info	high	""
router-gpt-5.5	60	44	4	2	12	6	exception_info	high	""
router-grok-build-0.1	60	36	13	0	11	11	exception_info	high	""
router-kimi-k2.6	60	30	14	0	16	8	exception_info	high	""
router-qwen-3.7-plus	60	33	19	0	9	17	exception_info	high	""
