arm_id	task_id	attempt_count	success_count	normal_failure_count	exception_count	suspect_noop_count	missing_cost_count	representative_exception_type	review_status	qualitative_summary
router-anthropic-sonnet	terminal-bench-2.0:build-cython-ext	3	2	0	1	0	1	exception_info	pending	
router-anthropic-sonnet	terminal-bench-2.0:cancel-async-tasks	3	0	2	1	0	1	exception_info	pending	
router-anthropic-sonnet	terminal-bench-2.0:configure-git-webserver	3	1	1	1	0	1	exception_info	pending	
router-anthropic-sonnet	terminal-bench-2.0:custom-memory-heap-crash	3	1	0	2	0	1	exception_info	pending	
router-anthropic-sonnet	terminal-bench-2.0:fix-code-vulnerability	3	2	0	1	0	1	exception_info	pending	
router-anthropic-sonnet	terminal-bench-2.0:git-leak-recovery	3	2	0	1	0	1	exception_info	pending	
router-anthropic-sonnet	terminal-bench-2.0:llm-inference-batching-scheduler	3	2	0	1	0	1	exception_info	pending	
router-anthropic-sonnet	terminal-bench-2.0:model-extraction-relu-logits	3	0	0	3	0	3	exception_info	pending	
router-anthropic-sonnet	terminal-bench-2.0:modernize-scientific-stack	3	3	0	0	0	0		pending	
router-anthropic-sonnet	terminal-bench-2.0:mteb-retrieve	3	0	3	0	0	0		pending	
router-anthropic-sonnet	terminal-bench-2.0:multi-source-data-merger	3	2	0	1	0	1	exception_info	pending	
router-anthropic-sonnet	terminal-bench-2.0:nginx-request-logging	3	2	0	1	0	1	exception_info	pending	
router-anthropic-sonnet	terminal-bench-2.0:openssl-selfsigned-cert	3	2	0	1	0	1	exception_info	pending	
router-anthropic-sonnet	terminal-bench-2.0:password-recovery	3	2	1	0	0	0		pending	
router-anthropic-sonnet	terminal-bench-2.0:polyglot-rust-c	3	0	1	2	0	2	exception_info	pending	
router-anthropic-sonnet	terminal-bench-2.0:portfolio-optimization	3	3	0	0	0	0		pending	
router-anthropic-sonnet	terminal-bench-2.0:query-optimize	3	1	1	1	0	1	exception_info	pending	
router-anthropic-sonnet	terminal-bench-2.0:schemelike-metacircular-eval	3	0	0	3	0	3	exception_info	pending	
router-anthropic-sonnet	terminal-bench-2.0:sqlite-db-truncate	3	2	0	1	0	1	exception_info	pending	
router-anthropic-sonnet	terminal-bench-2.0:torch-pipeline-parallelism	3	1	0	2	0	2	exception_info	pending	
