arm_id,selected_run_label,routing_aliases,backend_model,provider_models,provider,selected_cost_usd,selected_cost_relation,selected_cost_basis,selected_cost_confidence,evidence_class,provider_billed_cost_usd,provider_context_billed_cost_usd,provider_context_scope,provider_context_excess_usd,provider_billing_reconciliation_status,trial_count,complete_trial_cost_count,lower_bound_trial_count,confirmed_zero_cost_trial_count,trial_cost_allocation_status,outcome_cost_allocation_status,clean_success_cost_usd,normal_failure_cost_usd,exception_failure_cost_usd,exception_with_success_signal_cost_usd,known_allocated_cost_usd,unallocated_known_cost_usd,unquantified_additional_cost_status,historical_harness_recorded_cost_usd,historical_reviewed_cost_usd,evidence_note
router-anthropic-fable-5,router-anthropic-fable-5/2026-07-11__12-15-55,router-anthropic-fable-5,claude-fable-5,claude-fable-5,anthropic,64.80504500,exact,provider_rate_reconstructed_retained_usage,high,verified_retained_artifacts_plus_official_provider_rates,,,,,provider_invoice_unavailable,60,60,0,0,available_provider_rate_reconstruction,available_provider_rate_reconstruction,40.61351750,9.22395200,3.49566500,11.47191050,64.80504500,0,none,25.64316325,37.68696425,All 60 selected-run trial costs resolved from verified retained accounting or validated client-cost scalar correction; no Anthropic invoice export available.
router-anthropic-haiku-sanitized,router-anthropic-haiku-sanitized/2026-07-12__03-25-22,router-anthropic-haiku-sanitized;router-anthropic-haiku,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,anthropic,16.70224485,exact,provider_rate_reconstructed_retained_usage,high,verified_retained_artifacts_plus_official_provider_rates,,,,,provider_invoice_unavailable,60,60,0,0,available_provider_rate_reconstruction,available_provider_rate_reconstruction,5.73802710,10.96421775,0,0,16.70224485,0,none,83.51122425,83.51122425,All 60 selected-run trial costs resolved from verified retained accounting or validated client-cost scalar correction; observed client alias differs from the sanitized arm alias; no Anthropic invoice export available.
router-anthropic-opus,router-anthropic-opus/2026-07-01__12-15-57,router-anthropic-opus,claude-opus-4-7,claude-opus-4-7,anthropic,50.28831125,lower_bound,provider_rate_reconstructed_retained_usage_lower_bound,high_for_retained_accounting_lower_bound,verified_retained_artifacts_plus_official_provider_rates,,,,,provider_invoice_unavailable,60,58,2,2,available_with_exception_path_lower_bounds,available_lower_bound,33.75602500,6.57487825,9.95740800,0,50.28831125,0,possible_additional_exception_path_spend,40.33090325,64.49228375,58 trial costs are complete; 2 exception-failure trials retain only a provider-rate lower bound because trajectory/Harbor accounting omits API-response activity and no final cost/modelUsage summary survived.
router-anthropic-sonnet,router-anthropic-sonnet/2026-06-27__01-30-11,router-anthropic-sonnet,claude-sonnet-4-6,claude-sonnet-4-6,anthropic,38.38591710,lower_bound,provider_rate_reconstructed_retained_usage_lower_bound,high_for_retained_accounting_lower_bound,verified_retained_artifacts_plus_official_provider_rates,,,,,provider_invoice_unavailable,60,55,5,14,available_with_exception_path_lower_bounds,available_lower_bound,17.68588530,3.04654905,17.65348275,0,38.38591710,0,possible_additional_exception_path_spend,37.394878,52.7917033,55 trial costs are complete; 5 exception-failure trials retain only provider-rate lower bounds because trajectory/Harbor accounting omits API-response activity and no final cost/modelUsage summary survived.
router-deepseek-flash,router-deepseek-flash/2026-06-28__13-28-50,router-deepseek-flash,deepseek-v4-flash,deepseek-v4-flash,deepseek,1.0798358032,estimate,provider_rate_reconstructed_selected_run,high,provider_rate_reconstruction_with_same_day_provider_crosscheck,,1.1502775424,same_day_model_aggregate,0.0704417392,same_day_model_aggregate_not_run_isolated,60,60,0,0,available_provider_rate_reconstruction,available_provider_rate_reconstruction,0.4812951304,0.1494833256,0.4490573472,0,1.0798358032,0,none,56.35246,56.7953838632,Selected-run aggregate tokens repriced at provider rates; same-day model billing independently cross-checks the result but contains additional activity not allocated to this run.
router-deepseek-pro,router-deepseek-pro/2026-06-19__13-47-59,router-deepseek-pro,deepseek-v4-pro,deepseek-v4-pro,deepseek,1.899724634,estimate,provider_rate_reconstructed_selected_run,high,provider_rate_reconstruction_with_same_day_provider_crosscheck,,1.963511004,same_day_model_aggregate,0.063786370,same_day_model_aggregate_not_run_isolated,60,60,0,0,available_provider_rate_reconstruction,available_provider_rate_reconstruction,1.246300056,0.354401315,0.299023263,0,1.899724634,0,none,50.203188,50.439011911,Selected-run aggregate tokens repriced at provider rates; same-day model billing independently cross-checks the result but contains additional activity not allocated to this run.
router-gpt-5.4,router-gpt-5.4/2026-06-19__13-47-51,router-gpt-5.4,gpt-5.4,gpt-5.4-2026-03-05,openai,29.7919335,exact,provider_billed,exact_provider_arm_total,exact_provider_arm_total,29.7919335,29.7919335,exact_arm_total,0,exact_arm_total,60,0,0,0,unavailable_provider_aggregate,unavailable_provider_aggregate,,,,,0,29.7919335,none,173.09483,183.646689146806,Exact provider-billed selected-arm total; provider aggregate is not redistributed to trials or outcome buckets.
router-gpt-5.5,router-gpt-5.5/2026-06-27__01-30-18,router-gpt-5.5,gpt-5.5,gpt-5.5-2026-04-23,openai,48.604914,exact,provider_billed,exact_provider_arm_total,exact_provider_arm_total,48.604914,48.604914,exact_arm_total,0,exact_arm_total,60,0,0,0,unavailable_provider_aggregate,unavailable_provider_aggregate,,,,,0,48.604914,none,168.708375,183.958832348525,Exact provider-billed selected-arm total; provider aggregate is not redistributed to trials or outcome buckets.
router-grok-build-0.1,router-grok-build-0.1/2026-06-28__13-28-55,router-grok-build-0.1,grok-build-0.1,grok-build-0.1,xai,6.418694,lower_bound,provider_rate_reconstructed_retained_usage_lower_bound,high_for_retained_accounting_lower_bound,verified_retained_trajectories_plus_official_provider_rates,,6.36,preselected_family_dashboard_total_through_2026-06-19,,preselected_provider_context_not_selected_run,60,59,1,0,available_with_unresolved_usage_lower_bounds,available_lower_bound,2.742745,1.378816,2.297133,0,6.418694,0,possible_additional_unresolved_trial_spend,38.149845,53.153814003353,Selected retained usage repriced at $1/M input and $2/M output. R2 trajectories exactly reproduce retained usage; the one polyglot-rust-c zero-token trial also has a zero-metric trajectory. The $6.36 provider dashboard snapshot predates the selected June 28 run.
router-glm-5.1,router-glm-5.1/2026-06-28__13-28-50,router-glm-5.1,glm-5.1,glm-5.1,zai-glm,5.3316552,estimate,provider_rate_reconstructed_retained_usage_partial,medium,partial_retained_usage_plus_retained_published_rates_cache_accounting_unverified,,3.094387,preselected_glm5.1_provider_billing_table_through_2026-06-19,,preselected_provider_context_not_selected_run,60,55,0,0,partial_selected_usage_reconstruction_with_unresolved_trials,available_partial_estimate,3.2805044,0.3892738,1.5052006,0.1566764,5.3316552,0,unresolved_trial_spend_and_cache_classification_uncertainty,18.65261,20.297031,"55 trials retain usage. Five zero-token exception trials have zero-metric R2 trajectories, so no hidden usage is recoverable from durable artifacts. Selected-run cache classification remains unverified, so $5.3316552 is a partial rate estimate rather than a strict lower bound. The $3.094387 Z.AI billing table covers earlier glm-5.1 activity and predates the selected June 28 run."
