arm_id,provider,selected_run_label,selected_cost_usd,selected_cost_relation,selected_cost_basis,selected_cost_confidence,evidence_class,trial_count,complete_trial_cost_count,unresolved_trial_count,selected_input_tokens,selected_cache_tokens,selected_output_tokens,trajectory_evidence_status,pricing_provenance_status,provider_context_billed_cost_usd,provider_context_rate_reconstruction_usd,provider_context_rate_reconstruction_excess_vs_selected_usd,provider_context_account_spend_usd,provider_context_overhead_usd,provider_context_scope,provider_context_temporal_relation,provider_context_allocation_confidence,historical_harness_recorded_cost_usd,historical_reviewed_cost_usd,audit_scope,audit_conclusion
router-anthropic-fable-5,anthropic,router-anthropic-fable-5/2026-07-11__12-15-55,64.80504500,exact,provider_rate_reconstructed_retained_usage,high,verified_retained_artifacts_plus_official_provider_rates,60,60,0,,,,not_reaudited_in_20260825_provider_pass,inherited_from_20260824_reconciliation,,,,,,,inherited_from_20260824,inherited_from_20260824,25.64316325,37.68696425,inherited_20260824_current_reconciliation,All 60 selected-run trial costs resolved from verified retained accounting or validated client-cost scalar correction; no Anthropic invoice export available.
router-anthropic-haiku-sanitized,anthropic,router-anthropic-haiku-sanitized/2026-07-12__03-25-22,16.70224485,exact,provider_rate_reconstructed_retained_usage,high,verified_retained_artifacts_plus_official_provider_rates,60,60,0,,,,not_reaudited_in_20260825_provider_pass,inherited_from_20260824_reconciliation,,,,,,,inherited_from_20260824,inherited_from_20260824,83.51122425,83.51122425,inherited_20260824_current_reconciliation,All 60 selected-run trial costs resolved from verified retained accounting or validated client-cost scalar correction; observed client alias differs from the sanitized arm alias; no Anthropic invoice export available.
router-anthropic-opus,anthropic,router-anthropic-opus/2026-07-01__12-15-57,50.28831125,lower_bound,provider_rate_reconstructed_retained_usage_lower_bound,high_for_retained_accounting_lower_bound,verified_retained_artifacts_plus_official_provider_rates,60,58,2,,,,not_reaudited_in_20260825_provider_pass,inherited_from_20260824_reconciliation,,,,,,,inherited_from_20260824,inherited_from_20260824,40.33090325,64.49228375,inherited_20260824_current_reconciliation,58 trial costs are complete; 2 exception-failure trials retain only a provider-rate lower bound because trajectory/Harbor accounting omits API-response activity and no final cost/modelUsage summary survived.
router-anthropic-sonnet,anthropic,router-anthropic-sonnet/2026-06-27__01-30-11,38.38591710,lower_bound,provider_rate_reconstructed_retained_usage_lower_bound,high_for_retained_accounting_lower_bound,verified_retained_artifacts_plus_official_provider_rates,60,55,5,,,,not_reaudited_in_20260825_provider_pass,inherited_from_20260824_reconciliation,,,,,,,inherited_from_20260824,inherited_from_20260824,37.394878,52.7917033,inherited_20260824_current_reconciliation,55 trial costs are complete; 5 exception-failure trials retain only provider-rate lower bounds because trajectory/Harbor accounting omits API-response activity and no final cost/modelUsage summary survived.
router-deepseek-flash,deepseek,router-deepseek-flash/2026-06-28__13-28-50,1.0798358032,estimate,provider_rate_reconstructed_selected_run,high,provider_rate_reconstruction_with_same_day_provider_crosscheck,60,60,0,,,,not_reaudited_in_20260825_provider_pass,inherited_from_20260824_reconciliation,1.1502775424,,,,,same_day_model_aggregate,inherited_from_20260824,inherited_from_20260824,56.35246,56.7953838632,inherited_20260824_current_reconciliation,Selected-run aggregate tokens repriced at provider rates; same-day model billing independently cross-checks the result but contains additional activity not allocated to this run.
router-deepseek-pro,deepseek,router-deepseek-pro/2026-06-19__13-47-59,1.899724634,estimate,provider_rate_reconstructed_selected_run,high,provider_rate_reconstruction_with_same_day_provider_crosscheck,60,60,0,,,,not_reaudited_in_20260825_provider_pass,inherited_from_20260824_reconciliation,1.963511004,,,,,same_day_model_aggregate,inherited_from_20260824,inherited_from_20260824,50.203188,50.439011911,inherited_20260824_current_reconciliation,Selected-run aggregate tokens repriced at provider rates; same-day model billing independently cross-checks the result but contains additional activity not allocated to this run.
router-gpt-5.4,openai,router-gpt-5.4/2026-06-19__13-47-51,29.7919335,exact,provider_billed,exact_provider_arm_total,exact_provider_arm_total,60,0,0,,,,not_reaudited_in_20260825_provider_pass,inherited_from_20260824_reconciliation,29.7919335,,,,,exact_arm_total,inherited_from_20260824,inherited_from_20260824,173.09483,183.646689146806,inherited_20260824_current_reconciliation,Exact provider-billed selected-arm total; provider aggregate is not redistributed to trials or outcome buckets.
router-gpt-5.5,openai,router-gpt-5.5/2026-06-27__01-30-18,48.604914,exact,provider_billed,exact_provider_arm_total,exact_provider_arm_total,60,0,0,,,,not_reaudited_in_20260825_provider_pass,inherited_from_20260824_reconciliation,48.604914,,,,,exact_arm_total,inherited_from_20260824,inherited_from_20260824,168.708375,183.958832348525,inherited_20260824_current_reconciliation,Exact provider-billed selected-arm total; provider aggregate is not redistributed to trials or outcome buckets.
router-grok-build-0.1,xai,router-grok-build-0.1/2026-06-28__13-28-55,6.418694,lower_bound,provider_rate_reconstructed_retained_usage_lower_bound,high_for_retained_accounting_lower_bound,verified_retained_trajectories_plus_official_provider_rates,60,59,1,2913256,0,1752719,60_trajectories_exactly_match_coverage;1_zero_metric_trial,official_xai_build_0.1_launch_rates,6.36,,,6.36,0,preselected_family_dashboard_total_through_2026-06-19,predates_selected_run,not_allocable_to_selected_run,38.149845,53.153814003353,provider_evidence_audit_20260825,Selected retained usage repriced at $1/M input and $2/M output. R2 trajectories exactly reproduce retained usage; the one polyglot-rust-c zero-token trial also has a zero-metric trajectory. The $6.36 provider dashboard snapshot predates the selected June 28 run.
router-glm-5.1,zai-glm,router-glm-5.1/2026-06-28__13-28-50,5.3316552,estimate,provider_rate_reconstructed_retained_usage_partial,medium,partial_retained_usage_plus_retained_published_rates_cache_accounting_unverified,60,55,5,1002002,0,892921,60_trajectories_exactly_match_coverage;5_zero_metric_trials,retained_published_rates_cache_accounting_unverified,3.094387,,,3.094387,0,preselected_glm5.1_provider_billing_table_through_2026-06-19,predates_selected_run,not_allocable_to_selected_run,18.65261,20.297031,provider_evidence_audit_20260825,"55 trials retain usage. Five zero-token exception trials have zero-metric R2 trajectories, so no hidden usage is recoverable from durable artifacts. Selected-run cache classification remains unverified, so $5.3316552 is a partial rate estimate rather than a strict lower bound. The $3.094387 Z.AI billing table covers earlier glm-5.1 activity and predates the selected June 28 run."
router-glm-5.2,zai-glm,router-glm-5.2/2026-06-19__13-47-51,8.9016736,estimate,provider_rate_reconstructed_selected_run,high,complete_retained_usage_plus_retained_published_rates,60,60,0,2026466,0,1378323,not_needed_all_60_selected_trials_have_retained_usage,retained_published_glm5.2_rates,,,,,0,glm5.1_billing_evidence_is_same_family_but_different_model,same_family_different_model_not_allocable,not_allocable,20.549075,25.3166398,provider_evidence_audit_20260825,All 60 selected-run trials carry retained usage. The earlier Z.AI billing table is glm-5.1 evidence only and is not attributed to the glm-5.2 selected run.
