arm_id	provider	backend_model	task_family	task_family_label	trial_count	success_count	pass_rate	exception_count	missing_or_reconstructed_cost_count	unresolved_cost_count	adjusted_cost_usd	unclean_adjusted_cost_usd	unclean_adjusted_cost_share	cost_per_success_usd	visible_token_sum	median_visible_tokens	median_success_visible_tokens	median_failure_visible_tokens	median_runtime_seconds
router-anthropic-fable-5	anthropic	claude-fable-5	build-packaging	Build, packaging, and dependency modernization	6	6	1.0	0	0	0	7.493063	0	0.0	1.2488438333333334	16054401.0	2340099.5	2340099.5	0.0	387.6933695
router-anthropic-fable-5	anthropic	claude-fable-5	concurrency-async	Concurrency and async control flow	3	3	1.0	0	0	0	0.7917695	0	0.0	0.26392316666666665	1166536.0	350588.0	350588.0	0.0	149.737279
router-anthropic-fable-5	anthropic	claude-fable-5	data-processing	Data processing and integration	3	3	1.0	0	0	0	0.65022375	0	0.0	0.21674125	1023458.0	361425.0	361425.0	0.0	111.61379
router-anthropic-fable-5	anthropic	claude-fable-5	database-storage	Database and storage operations	6	3	0.5	0	0	0	2.15746175	1.348449	0.625016411067311	0.7191539166666666	2700368.0	399824.0	411108.0	388540.0	749.6882875
router-anthropic-fable-5	anthropic	claude-fable-5	language-implementation	Language implementation and interpreters	3	2	0.6666666666666666	3	3	0	12.043801	12.043801	1.0	6.0219005	2824168.0	1041477.0	1076824.5	670519.0	2526.540705
router-anthropic-fable-5	anthropic	claude-fable-5	ml-scientific	ML, scientific computing, and retrieval	12	7	0.5833333333333334	3	0	0	6.58208075	0.6257555	0.09506955684188469	0.9402972500000001	5046691.0	312969.5	581729.0	0.0	452.316489
router-anthropic-fable-5	anthropic	claude-fable-5	optimization-finance	Optimization and quantitative planning	3	3	1.0	0	0	0	1.74267875	0	0.0	0.5808929166666666	2239545.0	713223.0	713223.0	0.0	431.047917
router-anthropic-fable-5	anthropic	claude-fable-5	security-crypto	Security, cryptography, and recovery	12	9	0.75	3	0	0	2.3205845	0.08490025000000001	0.036585717951662614	0.2578427222222222	3615123.0	346254.5	399847.0	0.0	100.0078625
router-anthropic-fable-5	anthropic	claude-fable-5	systems-low-level	Systems, low-level, and polyglot implementation	6	0	0.0	3	0	0	2.13199125	2.13199125	1.0		1428985.0	213376.0	0.0	213376.0	232.83734950000002
router-anthropic-fable-5	anthropic	claude-fable-5	web-networking	Web, networking, and service configuration	6	3	0.5	0	0	0	1.77331	1.1453085	0.6458591560415269	0.5911033333333333	3799585.0	601487.0	421534.0	847991.0	161.323559
