suite_id	arm_id	backend_model	provider	run_label	task_id	attempt_index	trial_id	reward	exception_type	runtime_seconds	input_tokens	cache_tokens	output_tokens	recorded_cost_usd	token_reconstructed_cost_usd	empirical_reconstructed_cost_usd	adjusted_cost_usd	cost_source	cost_confidence	cost_gap_reason	outcome_bucket
phase3-full-20	router-anthropic-fable-5	claude-fable-5	anthropic	router-anthropic-fable-5/2026-07-11__12-15-55	terminal-bench-2.0:build-cython-ext	1	20c82fa9-1a3b-450f-9535-b59b32e4120c	1		785.05011	2349014	2300144	34023	2.30154075			2.30154075	recorded_artifact	high		clean_success
phase3-full-20	router-anthropic-fable-5	claude-fable-5	anthropic	router-anthropic-fable-5/2026-07-11__12-15-55	terminal-bench-2.0:build-cython-ext	2	e712ed97-2240-4ba8-b2f2-eb07d2a806d6	1		661.111334	2230065	2183356	24339	1.98782425			1.98782425	recorded_artifact	high		clean_success
phase3-full-20	router-anthropic-fable-5	claude-fable-5	anthropic	router-anthropic-fable-5/2026-07-11__12-15-55	terminal-bench-2.0:build-cython-ext	3	f9c10277-8de4-422d-908e-b78e043f8755	1		887.496222	3112875	3058966	35157	2.7402205			2.7402205	recorded_artifact	high		clean_success
phase3-full-20	router-anthropic-fable-5	claude-fable-5	anthropic	router-anthropic-fable-5/2026-07-11__12-15-55	terminal-bench-2.0:cancel-async-tasks	4	da7e7687-4b09-449e-b7b3-a2380a23798b	1		149.737279	236609	227156	4266	0.27603425			0.27603425	recorded_artifact	high		clean_success
phase3-full-20	router-anthropic-fable-5	claude-fable-5	anthropic	router-anthropic-fable-5/2026-07-11__12-15-55	terminal-bench-2.0:cancel-async-tasks	5	3ce99011-5b24-4467-aabf-f22d945bcb75	1		152.158043	177397	168065	5126	0.2672375			0.2672375	recorded_artifact	high		clean_success
phase3-full-20	router-anthropic-fable-5	claude-fable-5	anthropic	router-anthropic-fable-5/2026-07-11__12-15-55	terminal-bench-2.0:cancel-async-tasks	6	e7f68ccf-a816-4856-b887-9172b3c477c9	1		140.912897	176216	167223	4478	0.24849775			0.24849775	recorded_artifact	high		clean_success
phase3-full-20	router-anthropic-fable-5	claude-fable-5	anthropic	router-anthropic-fable-5/2026-07-11__12-15-55	terminal-bench-2.0:configure-git-webserver	7	84bed545-ad08-4e84-b596-faa88791b46b	0		212.327231	392733	383672	4612	0.3603185			0.3603185	recorded_artifact	high		normal_failure
phase3-full-20	router-anthropic-fable-5	claude-fable-5	anthropic	router-anthropic-fable-5/2026-07-11__12-15-55	terminal-bench-2.0:configure-git-webserver	8	d07e6668-251a-4c5b-8188-06b5bccccfd8	0		229.977386	426415	416796	4780	0.3845655			0.3845655	recorded_artifact	high		normal_failure
phase3-full-20	router-anthropic-fable-5	claude-fable-5	anthropic	router-anthropic-fable-5/2026-07-11__12-15-55	terminal-bench-2.0:configure-git-webserver	9	ba8d48a9-7ee0-4218-a14d-84eaee43d017	0		221.228887	455109	445729	4902	0.4004245			0.4004245	recorded_artifact	high		normal_failure
phase3-full-20	router-anthropic-fable-5	claude-fable-5	anthropic	router-anthropic-fable-5/2026-07-11__12-15-55	terminal-bench-2.0:custom-memory-heap-crash	10	75e54f81-49c2-4792-bdfe-0332329000c2	0	exception_info	131.084274	28826	25611	170	0.080343			0.080343	recorded_artifact	high		exception_failure
phase3-full-20	router-anthropic-fable-5	claude-fable-5	anthropic	router-anthropic-fable-5/2026-07-11__12-15-55	terminal-bench-2.0:custom-memory-heap-crash	11	0d4ab925-6456-404a-b9f3-d504711c7682	0	exception_info	149.321263	124012	114908	680	0.146813			0.146813	recorded_artifact	high		exception_failure
phase3-full-20	router-anthropic-fable-5	claude-fable-5	anthropic	router-anthropic-fable-5/2026-07-11__12-15-55	terminal-bench-2.0:custom-memory-heap-crash	12	aa8dbfd6-e275-4519-8ec8-fded800fe3e0	0	exception_info	216.505972	265034	250404	4585	0.32782825			0.32782825	recorded_artifact	high		exception_failure
phase3-full-20	router-anthropic-fable-5	claude-fable-5	anthropic	router-anthropic-fable-5/2026-07-11__12-15-55	terminal-bench-2.0:fix-code-vulnerability	13	d4147c28-6067-41a8-b716-f48762ded774	1		102.167272	186137	151122	1828	0.33683475			0.33683475	recorded_artifact	high		clean_success
phase3-full-20	router-anthropic-fable-5	claude-fable-5	anthropic	router-anthropic-fable-5/2026-07-11__12-15-55	terminal-bench-2.0:fix-code-vulnerability	14	799ce2ff-4fbe-4d77-9205-a145363790c1	1		104.039582	216388	181660	1799	0.3495825			0.3495825	recorded_artifact	high		clean_success
phase3-full-20	router-anthropic-fable-5	claude-fable-5	anthropic	router-anthropic-fable-5/2026-07-11__12-15-55	terminal-bench-2.0:fix-code-vulnerability	15	da2e5fc5-5cc9-4fb4-8bb5-6db5ef38c680	1		126.091742	185886	150937	1888	0.33782975			0.33782975	recorded_artifact	high		clean_success
phase3-full-20	router-anthropic-fable-5	claude-fable-5	anthropic	router-anthropic-fable-5/2026-07-11__12-15-55	terminal-bench-2.0:git-leak-recovery	16	183478cc-0993-41c0-9480-67e502e85dad	1		97.848453	206958	199616	1437	0.178348			0.178348	recorded_artifact	high		clean_success
phase3-full-20	router-anthropic-fable-5	claude-fable-5	anthropic	router-anthropic-fable-5/2026-07-11__12-15-55	terminal-bench-2.0:git-leak-recovery	17	556646a3-2984-49c0-819a-2463297ee88e	1		102.629307	206431	199092	1409	0.17736725			0.17736725	recorded_artifact	high		clean_success
phase3-full-20	router-anthropic-fable-5	claude-fable-5	anthropic	router-anthropic-fable-5/2026-07-11__12-15-55	terminal-bench-2.0:git-leak-recovery	18	01de73b7-2c8a-4723-874f-d0dd627cc0c2	1		105.391608	237789	230127	2109	0.212401			0.212401	recorded_artifact	high		clean_success
phase3-full-20	router-anthropic-fable-5	claude-fable-5	anthropic	router-anthropic-fable-5/2026-07-11__12-15-55	terminal-bench-2.0:llm-inference-batching-scheduler	19	73a0b527-ad9f-4e6c-a406-c3ac30470306	1		486.127117	464248	434953	32947	1.2208015			1.2208015	recorded_artifact	high		clean_success
phase3-full-20	router-anthropic-fable-5	claude-fable-5	anthropic	router-anthropic-fable-5/2026-07-11__12-15-55	terminal-bench-2.0:llm-inference-batching-scheduler	20	babc52f8-9230-48fa-b04e-bc6965dd1796	1		459.614692	491453	466388	29743	1.129979			1.129979	recorded_artifact	high		clean_success
phase3-full-20	router-anthropic-fable-5	claude-fable-5	anthropic	router-anthropic-fable-5/2026-07-11__12-15-55	terminal-bench-2.0:llm-inference-batching-scheduler	21	a6fae3d6-60e5-43de-9fab-c80d6b9cd7e0	1		485.229658	482705	433549	31281	1.30257825			1.30257825	recorded_artifact	high		clean_success
